"filename", "language", "JavaScript", "comment", "blank", "total"
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\server\authenticateMiddleware\authMiddleware.js", "JavaScript", 31, 0, 8, 39
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\server\database.js", "JavaScript", 15, 1, 5, 21
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\server\index.js", "JavaScript", 83, 1, 15, 99
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\server\models\Cart.js", "JavaScript", 43, 1, 6, 50
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\server\models\Order.js", "JavaScript", 36, 0, 3, 39
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\server\models\Product.js", "JavaScript", 41, 0, 4, 45
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\server\models\User.js", "JavaScript", 36, 0, 5, 41
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\server\routes\cartRoutes.js", "JavaScript", 92, 6, 25, 123
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\server\routes\orderRoutes.js", "JavaScript", 55, 2, 9, 66
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\server\routes\productRoutes.js", "JavaScript", 73, 0, 9, 82
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\server\routes\uploadRoutes.js", "JavaScript", 25, 0, 9, 34
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\server\routes\userRoutes.js", "JavaScript", 80, 1, 13, 94
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\server\socketMain.js", "JavaScript", 0, 0, 1, 1
"Total", "-", 610, 12, 112, 734
